# x y z Bx By Bz TempV
1.114521899999999960e+03 -2.757774699999999939e+03 -1.164369300000000067e+03 -7.308818600162865498e-02 2.457840070531952525e-01 -8.776206612688701447e-02 -1.970221709721857537e-03
1.115053200000000061e+03 -2.757788500000000113e+03 -1.164369200000000092e+03 -7.591690172709715523e-02 2.558209986080701714e-01 -9.218365230604558258e-02 -2.001568164347182575e-03
1.115564200000000028e+03 -2.757802999999999884e+03 -1.164369300000000067e+03 -7.848644014182787343e-02 2.661435334379090856e-01 -9.630121983422526566e-02 -1.991733272145122715e-03
1.116079999999999927e+03 -2.757814100000000053e+03 -1.164369500000000016e+03 -8.069025468563086056e-02 2.766545877240909057e-01 -1.005352774351648687e-01 -1.998905628831073190e-03
1.116596199999999953e+03 -2.757826900000000023e+03 -1.164369899999999916e+03 -8.237684774584012881e-02 2.875461224105356761e-01 -1.046092382219546701e-01 -1.991620936959182919e-03
1.117115500000000111e+03 -2.757842599999999948e+03 -1.164370100000000093e+03 -8.404631636502600534e-02 2.989775455695266038e-01 -1.088577827218137756e-01 -1.965174844048176925e-03
1.117636500000000069e+03 -2.757855199999999968e+03 -1.164370200000000068e+03 -8.500216368817262169e-02 3.106725487564285237e-01 -1.130270697789032691e-01 -1.985290817618302721e-03
1.118167400000000043e+03 -2.757869499999999789e+03 -1.164370200000000068e+03 -8.559802298287680355e-02 3.225959793156414346e-01 -1.172037460913952361e-01 -1.998919851801902493e-03
1.118692600000000084e+03 -2.757883100000000013e+03 -1.164370400000000018e+03 -8.566182458372179065e-02 3.347226878762646352e-01 -1.213768143246835435e-01 -2.001574760134254907e-03
1.119214799999999968e+03 -2.757896400000000085e+03 -1.164370799999999917e+03 -8.536766416522320600e-02 3.469094216186606183e-01 -1.255705354964055664e-01 -1.994419785917409590e-03
1.119732600000000048e+03 -2.757910499999999956e+03 -1.164371100000000069e+03 -8.433190824043367007e-02 3.589180450677678103e-01 -1.294203636910432054e-01 -2.015618773829080945e-03
